numberID,Host_p1,Tumers_p1,nH_p1,nT_p1,Host_p2,Tumers_p2,nH_p2,nT_p2,nH,nT,Town,Region,Country,Month_collected,Year_collected
556,,,0,0,,556Tb-Dog_p2,0,1,0,1,Granada,,Nicaragua,June,2013
559,,,0,0,,559Ta-Dog_p2,0,1,0,1,Granada,,Nicaragua,July,2013
560,,,0,0,,560Ta-Dog_p2,0,1,0,1,Granada,,Nicaragua,July,2013
608,,,0,0,,608Ta-Dog_p2|608Tb-Dog_p2,0,2,0,2,Kombo,,The Gambia,July,2013
609,,,0,0,,609Ta-Dog_p2,0,1,0,1,Kombo,,The Gambia,July,2013
627,,,0,0,,627T1a-Dog_p2,0,1,0,1,Ibadan,South West,Nigeria,June,2013
645,,,0,0,,645Ta-Dog_p2,0,1,0,1,Roatan,,Honduras,November,2013
646,,646Ta-Dog_p1,0,1,,,0,0,0,1,Roatan,,Honduras,November,2013
652,,,0,0,,652Ta-Dog_p2,0,1,0,1,Lilongwe,"Area 49, sector 3",Malawi,August,2013
666,,,0,0,,666Ta-Dog_p2,0,1,0,1,Kombo,,The Gambia,December,2013
683,,,0,0,,683Ta-Dog_p2,0,1,0,1,"Northern areas, Port Elizabeth",Port Elizabeth,South Africa,November,2013
761,,761T1a-Dog_p1,0,1,,,0,0,0,1,São José do Rio Preto,Sao Paulo State,Brazil,,2012
773,,,0,0,,773T1a-Dog_p2,0,1,0,1,São José do Rio Preto,Sao Paulo State,Brazil,,2013
809,,,0,0,,809Ta-Dog_p2,0,1,0,1,Zhitomir,,Ukraine,February,2014
851,,,0,0,,851Ta-Dog_p2,0,1,0,1,,,Grenada,October,2012
855,,,0,0,,855Ta-Dog_p2,0,1,0,1,,,Grenada,February ,2013
924,,924T1-Dog_p1,0,1,,,0,0,0,1,Karditsa,,Greece,December,2013
930,930H1-Dog_p1,930T-Dog_p1,1,1,,,0,0,1,1,Guadelajara,Jalisco,Mexico,November,2013
935,935H-Dog_p1,935T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,,2014
936,936H-Dog_p1,936T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,,2014
938,938H-Dog_p1,938T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,,2014
940,940H-Dog_p1,940T-Dog_p1,1,1,,,0,0,1,1,Port Elizabeth,,South Africa,,2014
960,,960T-Dog_p1,0,1,,,0,0,0,1,Los Andes,V Region Valpraiso,Chile,May,2014
963,963H-Dog_p1,963T-Dog_p1,1,1,,,0,0,1,1,Los Andes,V Region Valpraiso,Chile,May,2014
978,978H-Dog_p1,978T-Dog_p1,1,1,,,0,0,1,1,Jaipur,,India,May,2014
979,979H-Dog_p1,979T-Dog_p1,1,1,,,0,0,1,1,Jaipur,,India,May,2014
982,,,0,0,,982Ta-Dog_p2,0,1,0,1,Jaipur,,India,January,2014
987,987H-Dog_p1,987T-Dog_p1,1,1,,,0,0,1,1,Jaipur,,India,,
998,,998T-Dog_p1,0,1,,,0,0,0,1,Jaipur,,India,January,2014
