numberID,Host_p1,Tumers_p1,nH_p1,nT_p1,Host_p2,Tumers_p2,nH_p2,nT_p2,nH,nT,Town,Region,Country,Month_collected,Year_collected
1591,1591H-Dog_p1,1591T-Dog_p1,1,1,1591H-Dog_p2,1591T-Dog_p2,1,1,2,2,Port Elizabeth,"?,  Admin got muddled up and I don't know where this one came from",South Africa,April,2016
1594,1594H-Dog_p1,1594T1-Dog_p1,1,1,1594H-Dog_p2,1594T1-Dog_p2,1,1,2,2,Port Elizabeth,Bloemendal,South Africa,April,2016
1595,1595H-Dog_p1,1595T-Dog_p1,1,1,1595H-Dog_p2,1595T-Dog_p2,1,1,2,2,Port Elizabeth,New Brighton,South Africa,April,2016
1596,1596H-Dog_p1,1596T-Dog_p1,1,1,1596H-Dog_p2,1596T-Dog_p2,1,1,2,2,Port Elizabeth,Kwazakhele,South Africa,April,2016
1597,1597H-Dog_p1,1597T-Dog_p1,1,1,1597H-Dog_p2,1597T-Dog_p2,1,1,2,2,Port Elizabeth,NKANDLA,South Africa,April,2016
1598,1598H-Dog_p1,1598T-Dog_p1,1,1,1598H-Dog_p2,1598T-Dog_p2,1,1,2,2,Port Elizabeth,Zwide,South Africa,April,2016
1599,,1599Ta-Dog_p1,0,1,,1599Ta-Dog_p2,0,1,0,2,,,Ethiopia,Between Feb-Aug,2015
1600,1600Ha-Dog_p1,1600Ta-Dog_p1,1,1,1600Ha-Dog_p2,1600Ta-Dog_p2,1,1,2,2,,,Ethiopia,Between Feb-Aug,2015
1601,,1601Ta-Dog_p1,0,1,1601Ha-Dog_p2,1601Ta-Dog_p2,1,1,1,2,,,Ethiopia,Between Feb-Aug,2015
1602,1602Ha-Dog_p1,1602Ta-Dog_p1,1,1,1602Ha-Dog_p2,1602Ta-Dog_p2,1,1,2,2,,,Ethiopia,August,2015
1606,1606H-Dog_p1,1606T-Dog_p1,1,1,1606H-Dog_p2,1606T-Dog_p2,1,1,2,2,Kirovohrad,"central, Ukraine",Ukraine,April ,2016
1607,1607H-Dog_p1,1607T-Dog_p1,1,1,,1607T-Dog_p2,0,1,1,2,"Kiev, but dog from Ternojvolskaya area ",,Ukraine,March,2016
1608,1608H-Dog_p1,1608T-Dog_p1,1,1,1608H-Dog_p2,1608T-Dog_p2,1,1,2,2,Kirovohrad,"central, Ukraine",Ukraine,April ,2016
1609,1609H-Dog_p1,1609T-Dog_p1,1,1,1609H-Dog_p2,1609T-Dog_p2,1,1,2,2,Kirovohrad,"central, Ukraine",Ukraine,April ,2016
1610,1610H-Dog_p1,1610T-Dog_p1,1,1,1610H-Dog_p2,1610T-Dog_p2,1,1,2,2,"Kiev, but dog from Kirovohrad area",,Ukraine,March ,2016
1611,,1611T-Dog_p1,0,1,,1611T-Dog_p2,0,1,0,2,"Kiev, dog from Jvano-Franrovsth",,Ukraine,April,2016
1612,1612H2-Dog_p1,1612T-Dog_p1,1,1,1612H2-Dog_p2,1612T-Dog_p2,1,1,2,2,Port Elizabeth,Zwide,South Africa,May,2016
1614,,1614T1-Dog_p1,0,1,,1614T1-Dog_p2,0,1,0,2,,"Wamala, Entebbe",Uganda,December,2015
1615,,1615T-Dog_p1,0,1,,1615T-Dog_p2,0,1,0,2,,,Sudan,January,2016
1616,,1616T-Dog_p1,0,1,,1616T-Dog_p2,0,1,0,2,,"In David's email, it said it's from Island on Lake Victoria, (but there was ""Buwaya"" labled on the tube)",Uganda,March,2016
1617,1617H-Dog_p1,1617T-Dog_p1,1,1,1617H-Dog_p2,1617T-Dog_p2,1,1,2,2,Port Elizabeth,Bethelsdorp,South Africa,May,2016
1618,1618H-Dog_p1,1618T-Dog_p1,1,1,1618H-Dog_p2,1618T-Dog_p2,1,1,2,2,Port Elizabeth,Kwazakhele,South Africa,May,2016
1619,1619H-Dog_p1,1619T-Dog_p1,1,1,1619H-Dog_p2,1619T-Dog_p2,1,1,2,2,Port Elizabeth,Bethelsdorp,South Africa,May,2016
1620,1620H-Dog_p1,1620T-Dog_p1,1,1,1620H-Dog_p2,1620T-Dog_p2,1,1,2,2,Port Elizabeth,missionvale,South Africa,May,2016
1621,1621H-Dog_p1,1621T1-Dog_p1,1,1,1621H-Dog_p2,1621T1-Dog_p2,1,1,2,2,Port Elizabeth,Kwazakhele,South Africa,May,2016
1622,1622H-Dog_p1,1622T1-Dog_p1|1622T2-Dog_p1,1,2,1622H-Dog_p2,1622T1-Dog_p2|1622T2-Dog_p2,1,2,2,4,Port Elizabeth,New Brighton,South Africa,May,2016
1623,1623H-Dog_p1,1623T-Dog_p1,1,1,1623H-Dog_p2,1623T-Dog_p2,1,1,2,2,Port Elizabeth,Kwazakhele,South Africa,May,2016
1624,1624H-Dog_p1,1624T-Dog_p1,1,1,1624H-Dog_p2,1624T-Dog_p2,1,1,2,2,Port Elizabeth,Helenvale,South Africa,May,2016
1625,1625H-Dog_p1,1625T-1-Dog_p1,1,1,1625H-Dog_p2,1625T-1-Dog_p2,1,1,2,2,Punta Gorda,Toledo district,Belize,June,2016
1626,,1626T-1-Dog_p1,0,1,1626H-Dog_p2,1626T-1-Dog_p2,1,1,1,2,Punta Gorda,Toledo district,Belize,June,2016
1627,1627H1-Dog_p1,1627T-1-Dog_p1,1,1,1627H1-Dog_p2,1627T-1-Dog_p2,1,1,2,2,Punta Gorda,Toledo district,Belize,June,2016
1628,1628H1-Dog_p1,1628T-1-Dog_p1,1,1,1628H1-Dog_p2,1628T-1-Dog_p2,1,1,2,2,Punta Gorda,Toledo district,Belize,June,2016
1629,1629H1-Dog_p1,1629T-1-Dog_p1|1629T-2-Dog_p1,1,2,1629H1-Dog_p2,1629T-1-Dog_p2|1629T-2-Dog_p2,1,2,2,4,Punta Gorda,Toledo district,Belize,June,2016
1630,1630H1-Dog_p1,1630T-1-Dog_p1,1,1,1630H1-Dog_p2,1630T-1-Dog_p2,1,1,2,2,Punta Gorda,Toledo district,Belize,June,2016
1631,1631H1-Dog_p1,1631T-1-Dog_p1,1,1,1631H1-Dog_p2,1631T-1-Dog_p2,1,1,2,2,Punta Gorda,Toledo district,Belize,June,2016
1632,1632H1-Dog_p1,1632T-1-Dog_p1|1632T-2-Dog_p1|1632T-3-Dog_p1,1,3,1632H1-Dog_p2,1632T-1-Dog_p2|1632T-2-Dog_p2|1632T-3-Dog_p2,1,3,2,6,Punta Gorda,Toledo district,Belize,June,2016
1633,1633H1-Dog_p1,1633T1-1-Dog_p1|1633T2-1-Dog_p1|1633T2-2-Dog_p1|1633T2-3-Dog_p1,1,4,1633H1-Dog_p2,1633T1-1-Dog_p2|1633T2-1-Dog_p2|1633T2-2-Dog_p2|1633T2-3-Dog_p2,1,4,2,8,"St Catherine's Academy, Belize City",Belize City,Belize,June,2016
1635,1635H-Dog_p1,1635T-1-Dog_p1|1635T-2-Dog_p1,1,2,1635H-Dog_p2,1635T-1-Dog_p2|1635T-2-Dog_p2,1,2,2,4,"St Catherine's Academy, Belize City",Belize City,Belize,June,2016
1636,1636H1-Dog_p1,1636T-1-Dog_p1|1636T-2-Dog_p1|1636T-3-Dog_p1|1636T-4-Dog_p1|1636T-5-Dog_p1|1636T-6-Dog_p1|1636T-7-Dog_p1,1,7,1636H1-Dog_p2,1636T-1-Dog_p2|1636T-2-Dog_p2|1636T-3-Dog_p2|1636T-4-Dog_p2|1636T-5-Dog_p2|1636T-6-Dog_p2|1636T-7-Dog_p2,1,7,2,14,"St Catherine's Academy, Belize City",Belize City,Belize,June,2016
1637,1637H-Dog_p1,1637T-1-Dog_p1|1637Ta-1-Dog_p1,1,2,1637H-Dog_p2,1637T-1-Dog_p2|1637Ta-1-Dog_p2,1,2,2,4,"St Catherine's Academy, Belize City",Belize City,Belize,June,2016
1638,1638H-Dog_p1,1638T-Dog_p1,1,1,1638H-Dog_p2,1638T-Dog_p2,1,1,2,2,Utrecht,,Netherlands ,July,2016
1639,1639H-Dog_p1,1639T-Dog_p1,1,1,1639H-Dog_p2,1639T-Dog_p2,1,1,2,2,Schauderville,Port Elizabeth,South Africa,May,2016
1640,1640H-Dog_p1,1640T-Dog_p1,1,1,1640H-Dog_p2,1640T-Dog_p2,1,1,2,2,Kwazakhele,Port Elizabeth,South Africa,June,2016
1641,1641H-Dog_p1,1641T-Dog_p1,1,1,1641H-Dog_p2,1641T-Dog_p2,1,1,2,2,New Brighton,Port Elizabeth,South Africa,June,2016
1642,1642H-Dog_p1,1642T-Dog_p1,1,1,1642H-Dog_p2,1642T-Dog_p2,1,1,2,2,Chatty,Port Elizabeth,South Africa,June,2016
1643,1643H-Dog_p1,1643T-Dog_p1,1,1,1643H-Dog_p2,1643T-Dog_p2,1,1,2,2,,Port Elizabeth,South Africa,June,2016
1644,1644H-Dog_p1,1644T-Dog_p1,1,1,1644H-Dog_p2,1644T-Dog_p2,1,1,2,2,Kwazakhele,Port Elizabeth,South Africa,June,2016
1645,1645H-Dog_p1,1645T-Dog_p1,1,1,1645H-Dog_p2,1645T-Dog_p2,1,1,2,2,Kwazakhele,Port Elizabeth,South Africa,June,2016
1648,1648H-Dog_p1,1648T-Dog_p1,1,1,1648H-Dog_p2,1648T-Dog_p2,1,1,2,2,Bloemendal ,Port Elizabeth,South Africa,June,2016
1649,1649H-Dog_p1,1649T1-Dog_p1,1,1,1649H-Dog_p2,1649T1-Dog_p2,1,1,2,2,Kwazakhele,Port Elizabeth,South Africa,June,2016
1650,1650H-Dog_p1,1650T-Dog_p1,1,1,1650H-Dog_p2,1650T-Dog_p2,1,1,2,2,Timthy Valley,Port Elizabeth,South Africa,June,2016
1651,1651H-Dog_p1,1651T-Dog_p1,1,1,1651H-Dog_p2,1651T-Dog_p2,1,1,2,2,Northen area,Port Elizabeth,South Africa,June,2016
1652,1652H-Dog_p1,1652T-Dog_p1,1,1,1652H-Dog_p2,1652T-Dog_p2,1,1,2,2,Kwazakhele,Port Elizabeth,South Africa,June,2016
1653,1653H-Dog_p1,1653T-Dog_p1,1,1,1653H-Dog_p2,1653T-Dog_p2,1,1,2,2,Helenvale,Port Elizabeth,South Africa,July,2016
1654,1654H-Dog_p1,1654T1-Dog_p1,1,1,1654H-Dog_p2,1654T1-Dog_p2,1,1,2,2,New Brighton,Port Elizabeth,South Africa,July,2016
1655,1655H-Dog_p1,1655T-Dog_p1,1,1,1655H-Dog_p2,1655T-Dog_p2,1,1,2,2,Zinyoka,Port Elizabeth,South Africa,July,2016
1656,1656H-Dog_p1,1656T-Dog_p1,1,1,1656H-Dog_p2,1656T-Dog_p2,1,1,2,2,Zinyoka,Port Elizabeth,South Africa,July,2016
1657,1657H-Dog_p1,1657T-Dog_p1,1,1,1657H-Dog_p2,1657T-Dog_p2,1,1,2,2,Zinyoka,Port Elizabeth,South Africa,July,2016
1658,1658H-Dog_p1,1658T-Dog_p1,1,1,1658H-Dog_p2,1658T-Dog_p2,1,1,2,2,Timthy Valley,Port Elizabeth,South Africa,July,2016
1659,1659H-Dog_p1,1659T-Dog_p1,1,1,1659H-Dog_p2,1659T-Dog_p2,1,1,2,2,Kwazakhele,Port Elizabeth,South Africa,July,2016
1660,1660H-Dog_p1,1660T-Dog_p1,1,1,1660H-Dog_p2,1660T-Dog_p2,1,1,2,2,Zinyoka,Port Elizabeth,South Africa,July,2016
1661,1661H-Dog_p1,1661T1-Dog_p1,1,1,1661H-Dog_p2,1661T1-Dog_p2,1,1,2,2,Manizales,Port Elizabeth,South Africa,July,2016
1662,1662H-Dog_p1,1662T-Dog_p1,1,1,1662H-Dog_p2,1662T-Dog_p2,1,1,2,2,Zinyoka,Port Elizabeth,South Africa,July,2016
1663,1663H-Dog_p1,1663T-Dog_p1,1,1,1663H-Dog_p2,,1,0,2,1,Belize City,,Belize,July,2016
1664,1664H-Dog_p1,1664T-Dog_p1,1,1,1664H-Dog_p2,1664T-Dog_p2,1,1,2,2,Belize City,,Belize,July,2016
1665,1665H-2-Dog_p1,1665T-1-Dog_p1|1665T-2-Dog_p1|1665T-3-Dog_p1|1665T-4-Dog_p1,1,4,1665H-2-Dog_p2,1665T-1-Dog_p2|1665T-2-Dog_p2|1665T-3-Dog_p2|1665T-4-Dog_p2,1,4,2,8,Dangriga/San Creek,,Belize,July,2016
1666,1666H-2-Dog_p1,1666T-1-Dog_p1|1666T-2-Dog_p1|1666T-3-Dog_p1,1,3,1666H-2-Dog_p2,1666T-1-Dog_p2|1666T-2-Dog_p2|1666T-3-Dog_p2,1,3,2,6,San Ignacio,,Belize,July,2016
1667,1667H-3-Dog_p1,1667T-1-Dog_p1|1667T-2-Dog_p1,1,2,1667H-3-Dog_p2,1667T-1-Dog_p2|1667T-2-Dog_p2,1,2,2,4,San Ignacio,,Belize,July,2016
1668,1668H-Dog_p1,1668T-1-Dog_p1|1668T-2-Dog_p1|1668T-3-Dog_p1|1668T-4-Dog_p1,1,4,1668H-Dog_p2,1668T-1-Dog_p2|1668T-2-Dog_p2|1668T-3-Dog_p2|1668T-4-Dog_p2,1,4,2,8,Hopkins,,Belize,July,2016
1669,1669H-2-Dog_p1,1669T-1-Dog_p1|1669T-2-Dog_p1,1,2,1669H-2-Dog_p2,1669T-1-Dog_p2|1669T-2-Dog_p2,1,2,2,4,San Ignacio,,Belize,July,2016
1670,1670H-2-Dog_p1,1670T-1-Dog_p1|1670T-2-Dog_p1|1670T-4-Dog_p1,1,3,1670H-2-Dog_p2,1670T-1-Dog_p2|1670T-2-Dog_p2|1670T-4-Dog_p2,1,3,2,6,San Ignacio,,Belize,July,2016
1671,1671H-2-Dog_p1,1671T-1-Dog_p1|1671T-2-Dog_p1,1,2,1671H-2-Dog_p2,1671T-1-Dog_p2|1671T-2-Dog_p2,1,2,2,4,Belmopan,,Belize,August,2016
1672,,1672T-Dog_p1,0,1,,,0,0,0,1,Belize City,,Belize,,
1673,,1673T-Dog_p1,0,1,,1673T-Dog_p2,0,1,0,2,Belize City,,Belize,,
1674,1674H-Dog_p1,1674T-1-Dog_p1,1,1,1674H-Dog_p2,1674T-1-Dog_p2,1,1,2,2,San Ignacio,,Belize,August,2016
1731,,,0,0,1731H-Dog_p2,1731T-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,February,2016
1732,,,0,0,1732H-Dog_p2,1732T1-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,March,2016
1733,,,0,0,1733H-Dog_p2,1733T-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,April,2016
1734,,,0,0,1734H-Dog_p2,1734T-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,March,2016
1735,,,0,0,1735H-Dog_p2,1735T-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,March,2016
1736,,,0,0,1736H-Dog_p2,1736T-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,March,2016
1737,,,0,0,1737H-Dog_p2,1737T-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,April,2016
1738,,,0,0,1738H-Dog_p2,1738T-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,May,2016
1739,,,0,0,1739H-Dog_p2,1739T-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,February,2016
1740,,,0,0,1740H-Dog_p2,,1,0,1,0,Manizales,Caldas,Colombia,July,2016
1741,,,0,0,1741H-Dog_p2,1741T-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,July,2016
1742,,,0,0,1742H-Dog_p2,1742T-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,July,2016
1743,,,0,0,1743H-Dog_p2,1743T1-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,August,2016
1744,,,0,0,1744H-Dog_p2,1744T1-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,July,2016
1745,,,0,0,1745H-Dog_p2,1745T-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,August,2016
1788,,,0,0,1788H-Dog_p2,1788T-Dog_p2,1,1,1,1,,,Grenada,,
1789,,,0,0,1789H-Dog_p2,1789T-Dog_p2,1,1,1,1,,,Grenada,,
1790,,,0,0,1790H-Dog_p2,1790T-Dog_p2,1,1,1,1,,,Grenada,,
1791,,,0,0,1791H-Dog_p2,1791T-Dog_p2,1,1,1,1,,,Grenada,,
1792,,,0,0,1792H-Dog_p2,1792T-Dog_p2,1,1,1,1,,,Grenada,,
1793,,,0,0,,1793T-Dog_p2,0,1,0,1,,,Grenada,,
1834,,,0,0,1834H-Dog_p2,1834T-Dog_p2,1,1,1,1,Saint PetersBurg,,Russia,December,2016
1835,,,0,0,1835H-Dog_p2,1835T-Dog_p2,1,1,1,1,Saint PetersBurg,,Russia,December,2016
1836,,,0,0,1836H-Dog_p2,1836T-Dog_p2,1,1,1,1,Saint PetersBurg,,Russia,July,2016
1837,,,0,0,1837H-Dog_p2,1837T-Dog_p2,1,1,1,1,Saint PetersBurg,,Russia,February,2017
1838,,,0,0,1838H-Dog_p2,1838T-Dog_p2,1,1,1,1,Saint PetersBurg,,Russia,January,2017
1839,,,0,0,1839H-Dog_p2,1839T-Dog_p2,1,1,1,1,Saint PetersBurg,,Russia,December,2016
1840,,,0,0,1840H-Dog_p2,1840T1-Dog_p2,1,1,1,1,Sheffield,,United Kingdom,March,2017
1935,,,0,0,1935H-Dog_p2,1935T1-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,October,2016
1936,,,0,0,1936H-Dog_p2,1936T1-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,October,2016
1937,,,0,0,1937H-Dog_p2,1937T1-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,October,2016
1938,,,0,0,1938H-Dog_p2,1938T-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,November,2016
1939,,,0,0,1939H-Dog_p2,1939T1-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,November,2016
1940,,,0,0,1940H-Dog_p2,1940T1-Dog_p2|1940T1a-Dog_p2,1,2,1,2,Manizales,Caldas,Colombia,November,2016
1941,,,0,0,1941H-Dog_p2,1941T1-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,November,2016
1942,,,0,0,1942H-Dog_p2,1942T-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,December,2016
1943,,,0,0,1943H-Dog_p2,1943T1-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,January,2017
1944,,,0,0,1944H-Dog_p2,1944T1-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,January,2017
1945,,,0,0,1945H-Dog_p2,1945T1-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,February,2017
1946,,,0,0,1946H-Dog_p2,1946T1-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,February,2017
1947,,,0,0,1947H-Dog_p2,1947T1-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,February,2017
1948,,,0,0,,1948T-Dog_p2,0,1,0,1,Manizales,Caldas,Colombia,February,2017
1949,,,0,0,1949H-Dog_p2,1949T1-Dog_p2,1,1,1,1,Manizales,Caldas,Colombia,March,2017
1970,,,0,0,1970H-Dog_p2,1970T-Dog_p2,1,1,1,1,Buenos Aires,CABA (Ciudad Autonoma de Buenos Aires),Argentina,,2017
